Name,Age,Gender,Educational Background,Physical Traits,Personality Traits,Creative Expression,Problem Solving,LeaderShip and Managment,Communication ,Helping Others,Hard Skills,Soft Skills,Preffred Work mode,Comfortable with Technology (1-5),Stress Tolerance (1-5),Open to Relocation (Yes/No),Preferred Work Environment,Certifications (Yes/No),Predicted Career,Predicted Degree,Predicted University,
Ivan,19,Female,Diploma,Active,"Curious, Practical, Empathetic",Design,Physics,Business  ,Journalism  ,Counseling,Programming,Communication,Remote,1,2,No,No preference,Yes,Teacher,BEd,FAST-NUCES,
Charlie,22,Female,Matric,Sedentary,"Creative, Empathetic, Assertive",Writing,Data Analysis,Team Leadership  ,Public Relations  ,Education,Programming,Leadership,Remote,4,2,No,Outdoor,Yes,Teacher,BEd,NUST,
Charlie,19,Male,FSc,Moderately Active,"Analytical, Practical, Adventurous",Design,Engineering,Organizational Strategy  ,Social Media Management  ,Counseling,Graphic Design,Problem-Solving,Hybrid,1,5,No,Outdoor,Yes,Graphic Designer,BA Graphic Design,University of the Punjab,
Fiona,21,Male,FSc,Moderately Active,"Adventurous, Curious, Patient",Music,Programming,Finance  ,Broadcasting  ,Healthcare,Writing,Leadership,Hybrid,5,5,No,Outdoor,No,Photographer,Diploma Photography,FAST-NUCES,
Bob,22,Female,Matric,Moderately Active,"Creative, Analytical, Detail-Oriented",Photography,Data Analysis,Marketing and Branding  ,Digital Content Creation  ,Non-profit Work,Graphic Design,Teamwork,On-site,2,3,No,No preference,No,Teacher,BEd,NUST,
Ethan,18,Male,Matric,Active,"Detail-Oriented, Analytical, Empathetic",Writing,Mathematics,Business  ,Journalism  ,Counseling,Writing,Adaptability,Hybrid,5,4,Yes,No preference,No,Software Engineer,BSc Computer Science,University of the Punjab,
Hannah,22,Other,Matric,Moderately Active,"Patient, Adventurous, Detail-Oriented",Writing,Physics,Team Leadership  ,Public Relations  ,Non-profit Work,Programming,Teamwork,Remote,3,2,Yes,No preference,No,Photographer,Diploma Photography,Aga Khan University,
Fiona,16,Male,Matric,Active,"Curious, Organized, Assertive",Music,Physics,Organizational Strategy  ,Social Media Management  ,Counseling,Graphic Design,Adaptability,Remote,5,3,Yes,Indoor,No,Social Worker,BA Social Work,Aga Khan University,
Ivan,18,Female,Matric,Active,"Creative, Analytical, Adventurous",Design,Engineering,Finance  ,Broadcasting  ,Healthcare,Writing,Teamwork,Remote,2,3,No,Indoor,Yes,Nurse,BSc Nursing,LUMS,
Fiona,19,Male,Undergraduate,Sedentary,"Empathetic, Patient, Practical",Music,Physics,Marketing and Branding  ,Digital Content Creation  ,Education,Writing,Communication,On-site,1,3,Yes,Indoor,Yes,Mechanical Engineer,BEng Mechanical,QAU Islamabad,
George,18,Female,Undergraduate,Active,"Creative, Detail-Oriented, Analytical",Writing,Physics,Business  ,Journalism  ,Healthcare,Graphic Design,Teamwork,Hybrid,3,1,No,Indoor,Yes,Teacher,BEd,NUST,
Diana,18,Female,Matric,Sedentary,"Detail-Oriented, Curious, Patient",Photography,Physics,Team Leadership  ,Public Relations  ,Social Work,Data Analysis,Teamwork,Hybrid,1,4,Yes,No preference,Yes,Social Worker,BA Social Work,LUMS,
Ivan,16,Male,FSc,Active,"Analytical, Curious, Adventurous",Music,Engineering,Organizational Strategy  ,Social Media Management  ,Non-profit Work,Project Management,Leadership,Hybrid,2,5,No,Outdoor,Yes,Journalist,BA Journalism,Aga Khan University,
Ivan,18,Female,FSc,Sedentary,"Analytical, Detail-Oriented, Adventurous",Photography,Data Analysis,Finance  ,Broadcasting  ,Non-profit Work,Writing,Adaptability,Hybrid,2,5,No,Indoor,No,Journalist,BA Journalism,QAU Islamabad,
Ethan,20,Female,Diploma,Sedentary,"Creative, Adventurous, Empathetic",Photography,Mathematics,Marketing and Branding  ,Digital Content Creation  ,Non-profit Work,Graphic Design,Teamwork,Remote,1,1,No,No preference,Yes,Teacher,BEd,IBA Karachi,
Ethan,22,Male,FSc,Active,"Detail-Oriented, Adventurous, Assertive",Design,Physics,Business  ,Journalism  ,Healthcare,Programming,Communication,Remote,4,3,Yes,Indoor,Yes,Graphic Designer,BA Graphic Design,GIKI,
Alice,19,Male,Matric,Moderately Active,"Creative, Curious, Assertive",Photography,Programming,Team Leadership  ,Public Relations  ,Healthcare,Graphic Design,Communication,Remote,1,1,Yes,Outdoor,Yes,Graphic Designer,BA Graphic Design,LUMS,
Julia,16,Male,Diploma,Moderately Active,"Adventurous, Detail-Oriented, Practical",Music,Physics,Organizational Strategy  ,Social Media Management  ,Non-profit Work,Data Analysis,Teamwork,Hybrid,3,4,No,Outdoor,Yes,Data Scientist,BSc Data Science,GIKI,
Diana,21,Male,Undergraduate,Sedentary,"Curious, Empathetic, Organized",Writing,Mathematics,Finance  ,Broadcasting  ,Counseling,Programming,Leadership,Remote,3,3,No,Outdoor,No,Nurse,BSc Nursing,GIKI,
Diana,18,Female,FSc,Moderately Active,"Curious, Patient, Detail-Oriented",Design,Engineering,Marketing and Branding  ,Digital Content Creation  ,Counseling,Programming,Adaptability,Hybrid,4,1,Yes,Outdoor,No,Teacher,BEd,Aga Khan University,
Bob,20,Male,Undergraduate,Sedentary,"Empathetic, Practical, Detail-Oriented",Design,Physics,Business  ,Journalism  ,Counseling,Graphic Design,Problem-Solving,Hybrid,3,5,No,No preference,No,Social Worker,BA Social Work,NUST,
Bob,21,Other,Undergraduate,Active,"Organized, Patient, Empathetic",Photography,Mathematics,Team Leadership  ,Public Relations  ,Social Work,Data Analysis,Adaptability,Hybrid,2,3,Yes,Outdoor,Yes,Social Worker,BA Social Work,LUMS,
Ivan,22,Female,FSc,Sedentary,"Patient, Detail-Oriented, Adventurous",Writing,Data Analysis,Organizational Strategy  ,Social Media Management  ,Counseling,Graphic Design,Adaptability,Remote,4,1,No,No preference,No,Data Scientist,BSc Data Science,NUST,
Charlie,19,Female,Matric,Active,"Analytical, Curious, Empathetic",Music,Programming,Finance  ,Broadcasting  ,Social Work,Data Analysis,Teamwork,Remote,5,2,Yes,No preference,No,Psychologist,BSc Psychology,UET Lahore,
Bob,22,Male,Matric,Sedentary,"Practical, Curious, Creative",Writing,Engineering,Marketing and Branding  ,Digital Content Creation  ,Social Work,Writing,Communication,Hybrid,4,2,Yes,No preference,Yes,Photographer,Diploma Photography,NUST,
Ivan,18,Male,FSc,Moderately Active,"Curious, Analytical, Detail-Oriented",Photography,Physics,Business  ,Journalism  ,Social Work,Data Analysis,Problem-Solving,Remote,1,3,No,Indoor,Yes,Nurse,BSc Nursing,COMSATS,
Bob,18,Other,Undergraduate,Active,"Adventurous, Practical, Organized",Writing,Physics,Team Leadership  ,Public Relations  ,Counseling,Project Management,Adaptability,Remote,1,4,No,No preference,No,Graphic Designer,BA Graphic Design,NUST,
Diana,17,Female,FSc,Sedentary,"Analytical, Creative, Organized",Writing,Mathematics,Organizational Strategy  ,Social Media Management  ,Education,Writing,Problem-Solving,On-site,2,4,No,Indoor,No,Journalist,BA Journalism,LUMS,
Bob,17,Male,FSc,Active,"Patient, Adventurous, Curious",Design,Mathematics,Finance  ,Broadcasting  ,Education,Graphic Design,Adaptability,Remote,3,4,Yes,Outdoor,Yes,Data Scientist,BSc Data Science,LUMS,
Hannah,19,Male,Matric,Sedentary,"Assertive, Adventurous, Organized",Design,Data Analysis,Marketing and Branding  ,Digital Content Creation  ,Healthcare,Writing,Leadership,Remote,2,4,No,No preference,No,Nurse,BSc Nursing,University of the Punjab,
Alice,22,Male,FSc,Sedentary,"Creative, Organized, Detail-Oriented",Music,Engineering,Business  ,Journalism  ,Education,Writing,Communication,Remote,2,3,No,No preference,No,Social Worker,BA Social Work,COMSATS,
Ethan,22,Male,Undergraduate,Moderately Active,"Organized, Adventurous, Patient",Design,Programming,Team Leadership  ,Public Relations  ,Social Work,Data Analysis,Communication,Remote,2,4,Yes,Outdoor,No,Mechanical Engineer,BEng Mechanical,NUST,
Hannah,22,Other,Diploma,Active,"Detail-Oriented, Organized, Assertive",Design,Mathematics,Organizational Strategy  ,Social Media Management  ,Counseling,Graphic Design,Leadership,Hybrid,2,1,No,Indoor,No,Data Scientist,BSc Data Science,University of the Punjab,
Fiona,18,Female,Matric,Moderately Active,"Adventurous, Creative, Detail-Oriented",Writing,Mathematics,Finance  ,Broadcasting  ,Education,Project Management,Communication,On-site,2,5,Yes,Indoor,Yes,Journalist,BA Journalism,GIKI,
George,19,Other,Undergraduate,Sedentary,"Organized, Analytical, Curious",Music,Physics,Marketing and Branding  ,Digital Content Creation  ,Education,Data Analysis,Communication,On-site,2,3,No,Outdoor,Yes,Social Worker,BA Social Work,IBA Karachi,
Diana,18,Other,Matric,Moderately Active,"Adventurous, Detail-Oriented, Patient",Photography,Programming,Business  ,Journalism  ,Counseling,Writing,Leadership,Remote,3,2,No,No preference,Yes,Psychologist,BSc Psychology,GIKI,
Alice,21,Male,Undergraduate,Sedentary,"Creative, Patient, Practical",Writing,Engineering,Team Leadership  ,Public Relations  ,Education,Programming,Problem-Solving,Remote,4,5,No,Indoor,Yes,Graphic Designer,BA Graphic Design,COMSATS,
George,18,Female,Diploma,Moderately Active,"Creative, Analytical, Curious",Music,Mathematics,Organizational Strategy  ,Social Media Management  ,Social Work,Programming,Communication,On-site,1,4,Yes,Outdoor,No,Photographer,Diploma Photography,COMSATS,
Diana,20,Female,Diploma,Moderately Active,"Detail-Oriented, Adventurous, Patient",Music,Engineering,Finance  ,Broadcasting  ,Non-profit Work,Graphic Design,Teamwork,Hybrid,1,5,No,Outdoor,Yes,Software Engineer,BSc Computer Science,NUST,
Fiona,16,Male,Diploma,Sedentary,"Empathetic, Practical, Detail-Oriented",Design,Programming,Marketing and Branding  ,Digital Content Creation  ,Education,Data Analysis,Problem-Solving,Remote,5,3,No,Outdoor,No,Social Worker,BA Social Work,COMSATS,
Julia,16,Female,Undergraduate,Sedentary,"Creative, Detail-Oriented, Patient",Photography,Mathematics,Business  ,Journalism  ,Education,Graphic Design,Communication,On-site,1,3,No,Outdoor,No,Graphic Designer,BA Graphic Design,UET Lahore,
Fiona,17,Other,Matric,Sedentary,"Empathetic, Detail-Oriented, Patient",Writing,Data Analysis,Team Leadership  ,Public Relations  ,Counseling,Graphic Design,Adaptability,Hybrid,2,4,No,No preference,No,Nurse,BSc Nursing,LUMS,
Alice,21,Female,FSc,Moderately Active,"Organized, Analytical, Detail-Oriented",Photography,Mathematics,Organizational Strategy  ,Social Media Management  ,Healthcare,Data Analysis,Leadership,On-site,4,5,No,Outdoor,Yes,Nurse,BSc Nursing,COMSATS,
Charlie,22,Male,Diploma,Moderately Active,"Curious, Practical, Detail-Oriented",Design,Data Analysis,Finance  ,Broadcasting  ,Non-profit Work,Graphic Design,Leadership,Remote,2,4,No,Indoor,No,Photographer,Diploma Photography,UET Lahore,
Fiona,19,Other,FSc,Active,"Patient, Empathetic, Organized",Design,Physics,Marketing and Branding  ,Digital Content Creation  ,Healthcare,Graphic Design,Leadership,Remote,4,1,Yes,Indoor,Yes,Psychologist,BSc Psychology,LUMS,
Hannah,19,Male,Diploma,Active,"Organized, Practical, Patient",Photography,Programming,Business  ,Journalism  ,Non-profit Work,Project Management,Problem-Solving,Remote,2,1,Yes,No preference,No,Graphic Designer,BA Graphic Design,GIKI,
Ivan,18,Male,Diploma,Sedentary,"Practical, Organized, Analytical",Photography,Mathematics,Team Leadership  ,Public Relations  ,Social Work,Programming,Adaptability,Hybrid,1,4,Yes,Indoor,No,Data Scientist,BSc Data Science,GIKI,
Fiona,20,Female,Undergraduate,Moderately Active,"Creative, Empathetic, Organized",Design,Physics,Organizational Strategy  ,Social Media Management  ,Education,Writing,Teamwork,Remote,1,2,Yes,Outdoor,Yes,Teacher,BEd,Aga Khan University,
Alice,22,Female,Matric,Moderately Active,"Assertive, Adventurous, Patient",Photography,Data Analysis,Finance  ,Broadcasting  ,Healthcare,Data Analysis,Leadership,On-site,2,2,Yes,Outdoor,No,Journalist,BA Journalism,LUMS,
Charlie,19,Male,FSc,Moderately Active,"Creative, Assertive, Patient",Music,Physics,Marketing and Branding  ,Digital Content Creation  ,Non-profit Work,Graphic Design,Adaptability,On-site,1,4,No,No preference,Yes,Teacher,BEd,COMSATS,
Fiona,16,Male,Matric,Moderately Active,"Organized, Assertive, Creative",Music,Data Analysis,Business  ,Journalism  ,Social Work,Graphic Design,Problem-Solving,Hybrid,5,4,Yes,Indoor,Yes,Graphic Designer,BA Graphic Design,University of the Punjab,
Fiona,18,Male,Undergraduate,Sedentary,"Practical, Detail-Oriented, Assertive",Writing,Physics,Team Leadership  ,Public Relations  ,Education,Writing,Teamwork,Remote,5,5,No,Outdoor,Yes,Graphic Designer,BA Graphic Design,GIKI,
Diana,16,Female,Matric,Moderately Active,"Creative, Assertive, Practical",Design,Engineering,Organizational Strategy  ,Social Media Management  ,Education,Programming,Leadership,On-site,3,5,Yes,Outdoor,No,Social Worker,BA Social Work,QAU Islamabad,
Charlie,16,Female,FSc,Active,"Empathetic, Organized, Assertive",Music,Data Analysis,Finance  ,Broadcasting  ,Education,Data Analysis,Teamwork,Remote,1,1,Yes,Indoor,No,Teacher,BEd,University of the Punjab,
Ethan,18,Male,Diploma,Sedentary,"Curious, Analytical, Practical",Design,Programming,Marketing and Branding  ,Digital Content Creation  ,Education,Data Analysis,Adaptability,Hybrid,2,2,No,No preference,Yes,Social Worker,BA Social Work,LUMS,
Ethan,17,Female,Diploma,Moderately Active,"Curious, Patient, Empathetic",Design,Programming,Business  ,Journalism  ,Non-profit Work,Programming,Communication,Remote,1,1,No,Outdoor,Yes,Journalist,BA Journalism,University of the Punjab,
Alice,21,Other,Undergraduate,Active,"Creative, Assertive, Organized",Music,Programming,Team Leadership  ,Public Relations  ,Counseling,Data Analysis,Problem-Solving,On-site,5,3,Yes,No preference,Yes,Graphic Designer,BA Graphic Design,IBA Karachi,
Alice,21,Other,Diploma,Moderately Active,"Empathetic, Patient, Creative",Writing,Engineering,Organizational Strategy  ,Social Media Management  ,Social Work,Writing,Teamwork,Hybrid,4,5,No,Outdoor,No,Psychologist,BSc Psychology,LUMS,
Alice,19,Male,Matric,Sedentary,"Organized, Analytical, Assertive",Design,Programming,Finance  ,Broadcasting  ,Non-profit Work,Data Analysis,Problem-Solving,Remote,5,4,No,Indoor,No,Mechanical Engineer,BEng Mechanical,University of the Punjab,
George,17,Male,Undergraduate,Moderately Active,"Creative, Analytical, Curious",Music,Mathematics,Marketing and Branding  ,Digital Content Creation  ,Education,Data Analysis,Problem-Solving,On-site,2,1,No,No preference,Yes,Journalist,BA Journalism,COMSATS,
Hannah,16,Other,Undergraduate,Moderately Active,"Empathetic, Adventurous, Assertive",Photography,Engineering,Business  ,Journalism  ,Counseling,Programming,Teamwork,Hybrid,3,4,No,Indoor,Yes,Social Worker,BA Social Work,UET Lahore,
Ethan,19,Male,Matric,Sedentary,"Assertive, Empathetic, Creative",Writing,Physics,Team Leadership  ,Public Relations  ,Education,Graphic Design,Leadership,On-site,2,4,Yes,No preference,Yes,Graphic Designer,BA Graphic Design,University of the Punjab,
Bob,20,Female,Matric,Active,"Adventurous, Practical, Curious",Photography,Programming,Organizational Strategy  ,Social Media Management  ,Social Work,Graphic Design,Adaptability,On-site,4,4,No,Indoor,Yes,Graphic Designer,BA Graphic Design,Aga Khan University,
Fiona,20,Female,FSc,Moderately Active,"Organized, Curious, Practical",Writing,Programming,Finance  ,Broadcasting  ,Counseling,Project Management,Adaptability,Remote,3,5,Yes,Indoor,No,Mechanical Engineer,BEng Mechanical,LUMS,
Ethan,17,Other,Undergraduate,Active,"Organized, Creative, Adventurous",Music,Data Analysis,Marketing and Branding  ,Digital Content Creation  ,Non-profit Work,Programming,Problem-Solving,On-site,1,4,Yes,Outdoor,No,Nurse,BSc Nursing,GIKI,
Alice,21,Female,FSc,Sedentary,"Curious, Adventurous, Detail-Oriented",Design,Mathematics,Business  ,Journalism  ,Non-profit Work,Writing,Adaptability,Remote,1,4,No,Indoor,No,Nurse,BSc Nursing,GIKI,
Ethan,16,Other,FSc,Active,"Practical, Assertive, Organized",Design,Programming,Team Leadership  ,Public Relations  ,Counseling,Data Analysis,Adaptability,Hybrid,4,3,No,Indoor,No,Software Engineer,BSc Computer Science,IBA Karachi,
Alice,19,Male,FSc,Moderately Active,"Analytical, Organized, Empathetic",Writing,Mathematics,Organizational Strategy  ,Social Media Management  ,Non-profit Work,Programming,Problem-Solving,On-site,2,4,No,No preference,Yes,Software Engineer,BSc Computer Science,QAU Islamabad,
Alice,19,Female,Undergraduate,Active,"Empathetic, Organized, Patient",Music,Physics,Finance  ,Broadcasting  ,Counseling,Project Management,Leadership,On-site,2,1,No,Indoor,No,Graphic Designer,BA Graphic Design,LUMS,
Ethan,16,Male,FSc,Moderately Active,"Detail-Oriented, Patient, Practical",Design,Engineering,Marketing and Branding  ,Digital Content Creation  ,Social Work,Data Analysis,Problem-Solving,On-site,4,3,No,Outdoor,Yes,Photographer,Diploma Photography,NUST,
Ethan,16,Other,Diploma,Sedentary,"Adventurous, Analytical, Empathetic",Photography,Data Analysis,Business  ,Journalism  ,Non-profit Work,Data Analysis,Adaptability,Hybrid,1,2,Yes,No preference,No,Social Worker,BA Social Work,FAST-NUCES,
Ivan,20,Female,Undergraduate,Active,"Empathetic, Assertive, Analytical",Design,Programming,Team Leadership  ,Public Relations  ,Healthcare,Data Analysis,Problem-Solving,Remote,1,4,No,Outdoor,Yes,Photographer,Diploma Photography,LUMS,
Julia,18,Other,FSc,Sedentary,"Patient, Practical, Analytical",Music,Engineering,Organizational Strategy  ,Social Media Management  ,Healthcare,Graphic Design,Teamwork,Remote,5,2,Yes,Outdoor,No,Psychologist,BSc Psychology,Aga Khan University,
Alice,18,Female,FSc,Sedentary,"Creative, Organized, Practical",Photography,Physics,Finance  ,Broadcasting  ,Education,Graphic Design,Adaptability,On-site,3,3,No,Outdoor,No,Nurse,BSc Nursing,LUMS,
Julia,18,Male,Diploma,Active,"Patient, Detail-Oriented, Adventurous",Writing,Mathematics,Marketing and Branding  ,Digital Content Creation  ,Social Work,Data Analysis,Teamwork,On-site,5,3,No,Outdoor,No,Graphic Designer,BA Graphic Design,IBA Karachi,
Diana,16,Male,Diploma,Moderately Active,"Adventurous, Analytical, Organized",Photography,Programming,Business  ,Journalism  ,Counseling,Data Analysis,Problem-Solving,Hybrid,3,4,Yes,No preference,No,Journalist,BA Journalism,FAST-NUCES,
Hannah,18,Female,FSc,Moderately Active,"Creative, Patient, Practical",Writing,Physics,Team Leadership  ,Public Relations  ,Education,Writing,Problem-Solving,On-site,3,5,No,No preference,No,Social Worker,BA Social Work,QAU Islamabad,
